Job Title,Department,Age,Gender,Marital Status,Years of Service,Mode of Exit,Date of Exit,Reasons For Exit,Salary,Status
Data Scientist,Sales & Marketing,25,Male,Married,5,,,,494.04,0
Sales Executive,Project Management,60,Female,Married,2,Retirement,2/14/2024,Policy violation,737.9166667,1
Marketing Analyst,Customer Service,39,Female,Married,2,Resignation,3/15/2023,Career growth,379.5416667,1
Marketing Analyst,Human Resources,45,Female,Single,4,,,,359.92,0
Billing Specialist,Field Operations,24,Female,Married,6,,,,574.83,0
HR Specialist,Human Resources,25,Male,Married,7,,,,229.08,0
Project Manager,Project Management,48,Female,Married,3,,,,203.33,0
Customer Support Agent,Data Analytics,60,Female,Married,1,Retirement,2/16/2024,Better opportunity,501.125,1
Project Manager,Billing,53,Female,Married,7,,,,363.88,0
Network Engineer,Field Operations,45,Male,Single,6,Resignation,3/29/2023,Better opportunity,247.375,1
Marketing Analyst,Sales & Marketing,34,Female,Single,4,,,,474.08,0
IT Support Engineer,Billing,52,Female,Married,3,,,,471.79,0
Marketing Analyst,Network Operations,58,Male,Single,7,Retirement,3/26/2024,Pursuing education,394.8333333,1
HR Specialist,Data Analytics,48,Female,Single,1,,,,362.33,0
Billing Specialist,Project Management,24,Male,Single,4,Termination,8/13/2024,Personal reasons,313.0833333,1
Customer Support Agent,Network Operations,50,Male,Single,4,,,,271.0,0
Project Manager,Billing,52,Male,Married,3,,,,182.92,0
IT Support Engineer,Network Operations,28,Male,Married,2,,,,477.54,0
Product Manager,Project Management,57,Female,Married,2,,,,291.25,0
Marketing Analyst,Network Operations,33,Female,Single,4,,,,692.04,0
Project Manager,Project Management,51,Female,Married,5,,,,450.33,0
Billing Specialist,Project Management,26,Female,Single,3,,,,371.54,0
Data Scientist,Network Operations,58,Male,Married,4,Resignation,1/24/2025,End of service,517.125,1
Marketing Analyst,Project Management,50,Male,Married,4,,,,462.79,0
Product Manager,Human Resources,57,Male,Single,7,,,,308.38,0
Project Manager,Human Resources,27,Female,Married,7,,,,297.17,0
Network Engineer,Project Management,35,Female,Single,6,,,,499.08,0
Sales Executive,Customer Service,41,Female,Married,7,,,,183.0,0
Network Engineer,Project Management,25,Male,Married,8,,,,242.92,0
Sales Executive,Sales & Marketing,30,Male,Married,1,,,,646.13,0
Billing Specialist,Human Resources,54,Male,Married,5,Termination,6/7/2023,Better opportunity,327.9166667,1
Product Manager,Customer Service,24,Female,Married,3,,,,203.75,0
IT Support Engineer,Network Operations,22,Female,Married,6,,,,544.79,0
Customer Support Agent,Customer Service,51,Female,Married,3,,,,135.67,0
Network Engineer,Sales & Marketing,55,Female,Single,4,,,,349.54,0
Customer Support Agent,Billing,43,Male,Single,6,,,,360.33,0
Marketing Analyst,Customer Service,46,Male,Single,4,Termination,9/27/2023,Performance issues,230.9166667,1
Sales Executive,Project Management,49,Female,Single,7,,,,270.38,0
Data Scientist,Field Operations,30,Female,Single,7,,,,340.63,0
Software Developer,Field Operations,31,Male,Single,5,,,,594.25,0
Marketing Analyst,Field Operations,43,Female,Single,3,,,,392.67,0
Project Manager,Sales & Marketing,58,Male,Married,4,,,,266.0,0
Customer Support Agent,Project Management,25,Female,Married,7,,,,244.08,0
Billing Specialist,Field Operations,24,Female,Single,2,,,,317.79,0
Product Manager,IT & Software,31,Male,Single,2,,,,323.83,0
Software Developer,Field Operations,29,Female,Married,3,,,,385.25,0
Network Engineer,Data Analytics,27,Female,Married,6,,,,565.04,0
Project Manager,Billing,36,Male,Single,7,,,,356.25,0
Telecom Technician,Network Operations,31,Male,Married,2,,,,325.08,0
Network Engineer,Network Operations,33,Male,Married,2,Termination,7/5/2024,Personal reasons,307.6666667,1
Billing Specialist,Network Operations,53,Female,Married,7,Termination,8/25/2024,Policy violation,376.2916667,1
Customer Support Agent,Network Operations,35,Female,Single,2,,,,584.5,0
Telecom Technician,Sales & Marketing,56,Male,Married,4,,,,324.08,0
Billing Specialist,Human Resources,24,Female,Single,8,,,,267.63,0
Data Scientist,Project Management,36,Male,Single,9,Termination,6/13/2023,Restructuring,179.25,1
Software Developer,Field Operations,54,Male,Married,8,,,,403.58,0
Billing Specialist,Data Analytics,23,Male,Single,4,,,,261.83,0
Software Developer,Customer Service,36,Female,Single,2,,,,553.17,0
Telecom Technician,Field Operations,49,Male,Single,2,Resignation,12/13/2023,Restructuring,355.6666667,1
HR Specialist,Human Resources,60,Male,Married,7,Retirement,8/13/2023,Personal reasons,354.0,1
IT Support Engineer,Customer Service,36,Male,Single,2,Resignation,12/19/2024,Work-life balance,414.625,1
Software Developer,Project Management,33,Female,Married,3,,,,542.58,0
Sales Executive,Sales & Marketing,24,Female,Married,6,,,,716.75,0
HR Specialist,Sales & Marketing,60,Female,Single,10,Retirement,4/10/2024,Restructuring,731.5,1
Product Manager,Billing,28,Male,Single,7,Resignation,12/5/2024,Better opportunity,516.9166667,1
IT Support Engineer,Project Management,44,Female,Married,2,,,,296.88,0
HR Specialist,Billing,25,Male,Married,4,,,,403.79,0
Sales Executive,IT & Software,55,Male,Single,4,,,,524.17,0
Marketing Analyst,Network Operations,57,Female,Single,2,,,,238.04,0
Project Manager,IT & Software,54,Male,Married,1,,,,187.5,0
Billing Specialist,Data Analytics,23,Female,Single,7,,,,644.5,0
IT Support Engineer,Data Analytics,60,Female,Married,3,Retirement,8/7/2024,Career growth,211.8333333,1
Billing Specialist,Network Operations,52,Male,Single,7,,,,397.79,0
Telecom Technician,Project Management,40,Female,Single,7,,,,369.25,0
Sales Executive,Human Resources,60,Male,Single,8,Retirement,9/13/2023,Better opportunity,264.25,1
Customer Support Agent,Human Resources,26,Male,Married,2,Termination,12/21/2022,Better opportunity,428.75,1
HR Specialist,Billing,58,Female,Married,2,,,,264.63,0
IT Support Engineer,Network Operations,52,Male,Single,5,,,,538.08,0
Customer Support Agent,Network Operations,33,Female,Married,3,,,,346.42,0
Sales Executive,Sales & Marketing,33,Male,Single,8,,,,403.08,0
Project Manager,IT & Software,47,Male,Single,3,,,,340.13,0
Billing Specialist,Human Resources,38,Female,Single,2,,,,352.63,0
Customer Support Agent,Billing,25,Female,Married,7,,,,363.83,0
Project Manager,Data Analytics,26,Male,Married,7,Resignation,1/17/2024,Performance issues,436.1666667,1
Project Manager,IT & Software,30,Male,Married,4,,,,339.13,0
Customer Support Agent,Project Management,43,Male,Married,2,,,,340.83,0
Sales Executive,Data Analytics,51,Female,Single,4,Resignation,8/2/2024,Policy violation,685.9166667,1
Marketing Analyst,IT & Software,36,Male,Married,1,,,,286.75,0
Marketing Analyst,Customer Service,60,Female,Married,6,Retirement,7/28/2023,Performance issues,364.75,1
Marketing Analyst,Customer Service,54,Male,Single,8,,,,358.13,0
Product Manager,Network Operations,31,Female,Single,3,,,,396.33,0
HR Specialist,Field Operations,45,Male,Single,3,,,,496.79,0
Telecom Technician,IT & Software,23,Male,Single,7,Termination,9/4/2024,Performance issues,429.125,1
Marketing Analyst,Field Operations,51,Female,Single,6,,,,511.08,0
Sales Executive,Project Management,54,Male,Married,6,,,,439.63,0
Billing Specialist,Data Analytics,56,Female,Married,4,,,,510.25,0
Telecom Technician,Billing,47,Male,Married,3,Resignation,1/26/2022,Restructuring,272.0833333,1
HR Specialist,Human Resources,46,Male,Married,8,,,,260.25,0
Project Manager,Project Management,57,Female,Married,2,,,,210.08,0
IT Support Engineer,Network Operations,39,Female,Single,8,,,,368.17,0
Data Scientist,Human Resources,33,Male,Married,7,,,,254.63,0
Sales Executive,Field Operations,24,Male,Single,6,,,,312.88,0
Billing Specialist,Field Operations,35,Male,Married,4,,,,294.67,0
HR Specialist,Network Operations,48,Male,Single,4,,,,434.13,0
Telecom Technician,Project Management,48,Male,Single,8,,,,503.33,0
HR Specialist,IT & Software,25,Female,Single,3,,,,540.58,0
Marketing Analyst,Field Operations,60,Female,Single,4,Retirement,8/1/2023,Performance issues,306.6666667,1
Customer Support Agent,Customer Service,56,Male,Married,8,,,,512.13,0
Software Developer,Human Resources,30,Female,Married,7,,,,216.79,0
Billing Specialist,Field Operations,48,Female,Single,10,Resignation,12/16/2023,Better opportunity,447.3333333,1
HR Specialist,Field Operations,25,Female,Single,4,,,,492.25,0
Network Engineer,Network Operations,52,Male,Single,3,,,,383.92,0
Software Developer,Project Management,60,Male,Single,2,Retirement,10/29/2023,Personal reasons,170.4166667,1
Product Manager,IT & Software,32,Male,Married,3,,,,454.17,0
Marketing Analyst,Billing,44,Female,Married,4,,,,313.67,0
Project Manager,Project Management,57,Male,Married,4,,,,128.25,0
Software Developer,Human Resources,25,Female,Single,6,,,,321.67,0
Network Engineer,Data Analytics,27,Male,Single,7,,,,362.88,0
Customer Support Agent,Human Resources,39,Female,Single,3,,,,442.92,0
IT Support Engineer,Project Management,33,Female,Married,8,,,,557.75,0
Marketing Analyst,Human Resources,31,Female,Single,2,Resignation,12/22/2024,Better opportunity,390.5416667,1
Project Manager,Customer Service,51,Female,Married,5,,,,383.75,0
HR Specialist,IT & Software,25,Female,Married,3,,,,164.29,0
Product Manager,Human Resources,56,Female,Single,3,,,,135.04,0
Marketing Analyst,Network Operations,27,Male,Single,7,,,,388.63,0
Project Manager,Customer Service,25,Male,Married,2,,,,192.25,0
Data Scientist,IT & Software,58,Male,Married,2,,,,188.17,0
IT Support Engineer,Billing,25,Female,Single,8,,,,318.25,0
Telecom Technician,Project Management,43,Female,Single,8,,,,351.88,0
Customer Support Agent,Customer Service,30,Female,Married,7,,,,338.92,0
Telecom Technician,IT & Software,23,Male,Single,8,,,,435.92,0
HR Specialist,Data Analytics,28,Male,Single,3,,,,340.08,0
Network Engineer,IT & Software,24,Male,Married,7,,,,431.25,0
Project Manager,Network Operations,60,Male,Married,4,Retirement,5/29/2024,End of service,321.5416667,1
Project Manager,Sales & Marketing,35,Male,Married,3,,,,429.75,0
Project Manager,Sales & Marketing,57,Female,Single,6,,,,145.88,0
IT Support Engineer,IT & Software,22,Female,Married,5,,,,377.0,0
Product Manager,Data Analytics,55,Female,Single,3,,,,168.25,0
Project Manager,Billing,24,Male,Married,8,,,,447.04,0
Product Manager,Sales & Marketing,34,Male,Single,5,,,,451.08,0
Software Developer,Sales & Marketing,51,Female,Married,4,,,,574.25,0
Telecom Technician,IT & Software,29,Female,Single,8,,,,405.0,0
Marketing Analyst,Billing,41,Male,Married,4,,,,370.67,0
Telecom Technician,Human Resources,36,Male,Married,5,,,,239.5,0
Customer Support Agent,IT & Software,40,Female,Married,2,,,,591.33,0
Sales Executive,Customer Service,50,Female,Single,7,,,,254.17,0
Sales Executive,Data Analytics,41,Female,Single,3,,,,460.54,0
Telecom Technician,Customer Service,24,Male,Married,5,,,,262.58,0
Marketing Analyst,Network Operations,23,Male,Married,4,,,,436.25,0
Sales Executive,Project Management,39,Female,Married,4,,,,274.0,0
HR Specialist,Sales & Marketing,34,Female,Single,7,,,,307.58,0
Software Developer,Sales & Marketing,25,Male,Married,3,,,,320.13,0
Project Manager,Network Operations,39,Male,Married,7,,,,269.79,0
Project Manager,Sales & Marketing,40,Female,Single,5,,,,461.0,0
Software Developer,Network Operations,23,Female,Single,7,,,,720.88,0
Network Engineer,Project Management,25,Male,Married,5,,,,335.58,0
Network Engineer,Field Operations,25,Male,Married,4,Termination,10/21/2024,Restructuring,304.7916667,1
Marketing Analyst,Field Operations,27,Male,Single,3,,,,240.92,0
Software Developer,Field Operations,52,Female,Married,6,,,,431.33,0
Data Scientist,Field Operations,27,Female,Single,7,,,,158.88,0
IT Support Engineer,Data Analytics,40,Female,Single,8,,,,376.29,0
Network Engineer,Customer Service,25,Male,Married,4,,,,149.58,0
IT Support Engineer,Customer Service,48,Male,Married,6,,,,280.67,0
HR Specialist,Field Operations,41,Male,Single,8,,,,532.04,0
Data Scientist,Human Resources,31,Female,Single,5,,,,378.54,0
IT Support Engineer,Network Operations,23,Female,Married,2,,,,576.75,0
Software Developer,IT & Software,25,Female,Single,1,,,,387.83,0
Customer Support Agent,Project Management,41,Female,Married,7,,,,385.88,0
Sales Executive,IT & Software,60,Female,Married,7,Retirement,12/7/2022,Career growth,237.125,1
Telecom Technician,Sales & Marketing,31,Male,Single,8,,,,206.08,0
Data Scientist,Network Operations,25,Female,Married,3,,,,341.92,0
Telecom Technician,IT & Software,44,Female,Single,8,,,,307.75,0
Sales Executive,Data Analytics,49,Female,Single,8,,,,369.0,0
Telecom Technician,Field Operations,55,Male,Single,7,,,,492.33,0
Project Manager,Network Operations,52,Male,Single,8,,,,624.88,0
Billing Specialist,Billing,45,Female,Married,6,,,,591.08,0
Data Scientist,Field Operations,53,Female,Married,3,,,,552.54,0
Product Manager,Human Resources,22,Male,Married,7,,,,327.67,0
Software Developer,Project Management,25,Male,Married,2,,,,486.13,0
Network Engineer,Sales & Marketing,34,Male,Married,5,,,,407.04,0
Network Engineer,Network Operations,22,Female,Married,7,,,,323.0,0
Telecom Technician,Customer Service,38,Female,Married,7,,,,244.88,0
IT Support Engineer,Field Operations,32,Male,Single,6,,,,428.33,0
IT Support Engineer,Field Operations,25,Male,Single,8,,,,181.33,0
Network Engineer,Billing,49,Male,Married,5,,,,309.17,0
Telecom Technician,Sales & Marketing,28,Female,Single,2,,,,215.29,0
Marketing Analyst,Human Resources,58,Male,Single,3,,,,331.88,0
Software Developer,Customer Service,57,Female,Single,8,Resignation,7/10/2024,Pursuing education,285.4166667,1
Network Engineer,Human Resources,60,Male,Single,7,Retirement,8/24/2023,Personal reasons,296.25,1
Project Manager,Network Operations,36,Male,Single,6,,,,278.5,0
IT Support Engineer,IT & Software,58,Male,Married,7,Resignation,8/27/2023,Work-life balance,468.875,1
Project Manager,Billing,43,Female,Married,1,,,,633.33,0
Software Developer,Network Operations,25,Male,Married,7,,,,355.83,0
Product Manager,Billing,25,Male,Single,6,,,,168.13,0
Billing Specialist,Customer Service,24,Female,Single,8,,,,280.0,0
Software Developer,Sales & Marketing,50,Female,Single,3,,,,350.08,0
Software Developer,Network Operations,31,Female,Married,2,,,,653.17,0
Data Scientist,Field Operations,28,Female,Single,2,,,,127.38,0
IT Support Engineer,Billing,47,Male,Single,8,,,,157.83,0
HR Specialist,Billing,36,Female,Married,2,,,,238.33,0
Data Scientist,Customer Service,60,Male,Single,1,Retirement,5/10/2024,Restructuring,311.125,1
Data Scientist,Data Analytics,43,Female,Married,4,,,,160.38,0
Marketing Analyst,Sales & Marketing,28,Male,Single,7,,,,556.58,0
Marketing Analyst,Field Operations,51,Female,Married,8,,,,150.13,0
IT Support Engineer,Billing,58,Male,Married,7,,,,200.13,0
Customer Support Agent,Project Management,41,Female,Single,2,,,,245.17,0
Marketing Analyst,IT & Software,26,Female,Married,5,,,,593.54,0
Billing Specialist,Data Analytics,24,Female,Married,8,,,,494.92,0
Network Engineer,Human Resources,56,Female,Single,8,,,,436.29,0
HR Specialist,IT & Software,36,Male,Married,2,,,,416.38,0
Marketing Analyst,Network Operations,44,Female,Single,8,,,,191.75,0
Product Manager,Sales & Marketing,25,Male,Single,6,,,,529.17,0
Marketing Analyst,Network Operations,39,Female,Married,4,,,,363.63,0
Data Scientist,IT & Software,50,Male,Single,5,,,,330.29,0
Sales Executive,Data Analytics,40,Male,Single,4,,,,286.58,0
Data Scientist,Data Analytics,57,Male,Single,3,,,,293.08,0
Network Engineer,Sales & Marketing,30,Female,Married,8,,,,444.5,0
Software Developer,Customer Service,44,Male,Married,3,,,,219.92,0
Project Manager,Project Management,24,Female,Single,4,,,,319.63,0
Project Manager,Data Analytics,55,Female,Married,8,,,,212.67,0
Network Engineer,Data Analytics,30,Female,Married,8,,,,274.25,0
Data Scientist,Billing,35,Female,Single,1,Termination,10/22/2024,Career growth,376.9166667,1
Product Manager,IT & Software,38,Male,Single,5,,,,455.58,0
Telecom Technician,Field Operations,43,Male,Single,3,,,,338.0,0
Software Developer,Human Resources,56,Male,Single,5,,,,188.75,0
Data Scientist,Field Operations,26,Female,Single,6,,,,442.75,0
Product Manager,Billing,60,Male,Married,1,Retirement,11/19/2024,Policy violation,505.6666667,1
Software Developer,Sales & Marketing,48,Female,Single,4,,,,225.08,0
Product Manager,Human Resources,26,Female,Married,5,,,,156.13,0
Marketing Analyst,Field Operations,33,Male,Single,1,Termination,7/5/2024,Policy violation,448.5833333,1
Network Engineer,Network Operations,58,Female,Single,8,,,,650.92,0
Project Manager,Data Analytics,49,Male,Single,6,,,,632.38,0
Telecom Technician,Billing,46,Female,Married,7,Termination,3/28/2024,Restructuring,184.25,1
IT Support Engineer,IT & Software,50,Male,Married,1,,,,191.83,0
Project Manager,Network Operations,36,Male,Married,4,,,,451.08,0
Telecom Technician,Sales & Marketing,35,Male,Married,4,,,,248.17,0
Software Developer,Customer Service,42,Male,Married,4,,,,383.33,0
Software Developer,IT & Software,32,Female,Married,6,,,,438.83,0
Product Manager,IT & Software,29,Male,Single,8,,,,281.54,0
Telecom Technician,Sales & Marketing,51,Female,Single,6,,,,326.92,0
Product Manager,Project Management,25,Male,Married,3,,,,613.0,0
Billing Specialist,Billing,56,Female,Married,2,,,,347.83,0
IT Support Engineer,Billing,47,Male,Single,6,,,,545.38,0
HR Specialist,Human Resources,25,Male,Single,6,,,,446.67,0
Telecom Technician,Field Operations,42,Male,Single,7,Termination,10/13/2024,Policy violation,225.25,1
Marketing Analyst,Customer Service,45,Male,Single,8,,,,715.83,0
Software Developer,Project Management,33,Male,Single,3,,,,412.04,0
IT Support Engineer,Project Management,42,Female,Married,3,,,,254.08,0
Customer Support Agent,Human Resources,24,Female,Married,8,,,,346.42,0
Product Manager,Sales & Marketing,51,Female,Married,7,,,,382.83,0
Marketing Analyst,Customer Service,50,Female,Single,8,,,,474.79,0
Billing Specialist,Billing,56,Male,Single,7,,,,421.13,0
Sales Executive,IT & Software,24,Female,Single,6,,,,151.25,0
Software Developer,Data Analytics,58,Male,Married,6,,,,475.92,0
Project Manager,Sales & Marketing,24,Male,Married,7,,,,183.5,0
Telecom Technician,Sales & Marketing,52,Male,Married,2,,,,429.04,0
Project Manager,Billing,24,Male,Married,8,,,,378.54,0
Data Scientist,Project Management,55,Female,Married,2,,,,748.25,0
Data Scientist,Data Analytics,53,Male,Single,2,,,,336.13,0
Project Manager,Customer Service,34,Female,Married,3,,,,216.5,0
Marketing Analyst,Sales & Marketing,59,Female,Married,4,Termination,3/27/2023,Work-life balance,424.8333333,1
Sales Executive,Sales & Marketing,40,Female,Married,2,,,,312.0,0
Billing Specialist,Human Resources,30,Male,Married,8,,,,469.08,0
Sales Executive,Human Resources,35,Female,Married,7,,,,261.13,0
Project Manager,Field Operations,30,Male,Single,6,,,,276.08,0
HR Specialist,IT & Software,40,Female,Single,5,,,,325.13,0
Telecom Technician,Network Operations,50,Male,Single,8,,,,280.67,0
Customer Support Agent,Network Operations,51,Female,Single,7,,,,404.04,0
Project Manager,Data Analytics,42,Male,Married,6,,,,252.5,0
Network Engineer,Data Analytics,60,Female,Single,5,Retirement,11/30/2023,End of service,185.8333333,1
HR Specialist,Network Operations,43,Male,Married,2,Termination,7/16/2023,Career growth,525.5,1
Customer Support Agent,Sales & Marketing,45,Female,Single,2,,,,316.38,0
HR Specialist,Sales & Marketing,53,Male,Single,7,,,,163.58,0
Customer Support Agent,Sales & Marketing,55,Male,Single,2,,,,642.08,0
Network Engineer,Billing,36,Female,Married,6,,,,269.0,0
Data Scientist,Human Resources,47,Male,Married,8,,,,325.58,0
Sales Executive,Field Operations,50,Male,Married,4,,,,502.29,0
Billing Specialist,IT & Software,40,Male,Single,2,,,,181.29,0
Customer Support Agent,Data Analytics,60,Male,Married,7,Retirement,4/21/2024,Career growth,394.5416667,1
IT Support Engineer,IT & Software,28,Male,Single,4,Resignation,5/17/2024,Personal reasons,194.2916667,1
Customer Support Agent,Customer Service,25,Male,Single,6,,,,254.92,0
Data Scientist,IT & Software,25,Male,Married,3,,,,190.67,0
Telecom Technician,Sales & Marketing,36,Female,Married,8,,,,505.13,0
Telecom Technician,Human Resources,34,Female,Single,8,,,,463.83,0
Marketing Analyst,Project Management,28,Male,Married,5,Termination,10/22/2023,Performance issues,398.4166667,1
Marketing Analyst,IT & Software,48,Male,Single,6,,,,290.17,0
HR Specialist,Field Operations,39,Female,Married,3,,,,226.54,0
Project Manager,Billing,54,Female,Single,8,,,,295.54,0
Customer Support Agent,Sales & Marketing,52,Male,Single,4,,,,371.42,0
Project Manager,Network Operations,40,Male,Single,3,,,,210.25,0
Data Scientist,Data Analytics,25,Female,Single,3,,,,489.79,0
Software Developer,Human Resources,57,Male,Single,2,,,,386.42,0
Billing Specialist,Network Operations,23,Female,Married,6,,,,270.88,0
Marketing Analyst,IT & Software,38,Male,Married,3,,,,311.92,0
Software Developer,Sales & Marketing,44,Female,Single,2,,,,359.08,0
Network Engineer,Project Management,24,Female,Married,4,,,,571.04,0
Customer Support Agent,IT & Software,50,Male,Single,7,,,,245.0,0
Customer Support Agent,IT & Software,25,Male,Single,3,,,,627.29,0
Data Scientist,Network Operations,28,Female,Married,8,,,,250.38,0
Billing Specialist,Field Operations,60,Female,Married,9,Retirement,2/29/2024,Personal reasons,459.1666667,1
IT Support Engineer,Customer Service,49,Male,Single,9,Resignation,11/22/2023,Restructuring,151.1666667,1
Data Scientist,Project Management,25,Female,Married,3,,,,159.25,0
HR Specialist,Sales & Marketing,43,Female,Married,10,Termination,7/9/2023,Restructuring,328.9166667,1
Product Manager,Sales & Marketing,46,Female,Single,4,Resignation,9/19/2023,Career growth,359.0833333,1
HR Specialist,Data Analytics,60,Male,Married,7,Resignation,5/6/2024,Work-life balance,431.875,1
Customer Support Agent,Customer Service,38,Male,Married,10,Resignation,11/5/2023,Restructuring,285.9166667,1
Project Manager,Human Resources,28,Female,Married,6,,,,299.88,0
Telecom Technician,Human Resources,29,Female,Single,3,,,,163.54,0
Product Manager,Data Analytics,43,Male,Married,5,,,,487.17,0
Marketing Analyst,Project Management,31,Male,Single,8,,,,362.54,0
Marketing Analyst,Network Operations,23,Female,Single,8,,,,593.08,0
Customer Support Agent,Sales & Marketing,25,Male,Married,8,,,,594.42,0
Project Manager,Project Management,22,Female,Married,3,,,,462.13,0
Data Scientist,Project Management,52,Female,Married,8,,,,402.79,0
Sales Executive,Customer Service,46,Female,Married,7,,,,698.08,0
Sales Executive,Data Analytics,40,Female,Married,2,,,,394.33,0
Customer Support Agent,Network Operations,41,Female,Married,6,Termination,6/21/2024,End of service,198.5833333,1
Product Manager,Human Resources,26,Female,Single,8,,,,330.13,0
Telecom Technician,Network Operations,27,Female,Single,7,,,,420.13,0
Marketing Analyst,Billing,25,Female,Married,8,,,,227.5,0
Network Engineer,Network Operations,25,Male,Single,8,,,,219.58,0
Network Engineer,Project Management,38,Male,Married,7,,,,153.79,0
Data Scientist,Field Operations,25,Female,Single,3,,,,189.08,0
Software Developer,Network Operations,55,Female,Married,3,,,,391.08,0
Marketing Analyst,Billing,22,Female,Single,8,,,,367.88,0
Project Manager,Field Operations,60,Female,Single,8,Retirement,8/17/2023,Performance issues,436.75,1
Billing Specialist,Data Analytics,27,Male,Married,1,,,,542.0,0
Sales Executive,Network Operations,49,Female,Single,8,,,,250.75,0
Software Developer,Human Resources,25,Male,Married,8,,,,400.0,0
Billing Specialist,Data Analytics,58,Female,Single,2,,,,232.42,0
HR Specialist,Billing,32,Male,Married,1,Resignation,10/13/2023,Pursuing education,520.75,1
Network Engineer,Data Analytics,34,Male,Married,8,,,,260.63,0
